country_code,name,type,gender,population
SK,Žoviak,lastname,,8
HU,Antal-Vasile,lastname,U,3
PL,Rożnowicz,lastname,,94
HU,Hegman,lastname,U,3
SK,Genšiňáková,lastname,,8
CZ,Pečniková,lastname,F,3
CZ,Szkopková,lastname,F,1
SK,Butchko,firstname,,
SK,Rozálio,firstname,,
PL,Nereszczyńska,lastname,F,1
CZ,Rovácsová,lastname,F,13
PL,Czetowicz,lastname,,61
HU,Evelin Szabina,firstname,F,4
PL,Volmer,lastname,,2
HU,Jeager,lastname,U,6
HU,Dzsesszika Ilona,firstname,F,1
HU,Vanyusina,lastname,U,3
PL,Dybrsz,lastname,,
PL,Wielcki,lastname,M,1
HU,Jekisa,lastname,U,6
PL,Mejrowska,lastname,F,7
HU,Ohmüller,lastname,U,
CZ,Radulovič,lastname,M,2
PL,Rycki,lastname,M,169
PL,Świetoniak,lastname,,
PL,Cwiel,lastname,,1
HU,Irma Alexandra,firstname,F,1
PL,Paganowska,lastname,,
PL,Darszcz,lastname,,
SK,Scheussler,lastname,,
PL,Rusecka,lastname,F,219
CZ,Simonidesová,lastname,F,93
HU,Júlia Vénusz,firstname,F,1
PL,Domrese,lastname,,
PL,Boczulska,lastname,F,15
CZ,Gutwillinger,lastname,M,1
CZ,Bernatzik,lastname,M,7
PL,Dziardzia,lastname,,
CZ,Salerová,lastname,F,4
PL,Poczętowska,lastname,F,6
CZ,Frenová,lastname,F,7
PL,Kemicer,lastname,,14
CZ,Patzner,lastname,M,9
HU,Tancz,lastname,U,36
PL,Iberflus,lastname,,13
PL,Felsztyńska,lastname,F,267
PL,Gawłecka,lastname,F,1
CZ,Vingrová,lastname,F,3
SK,Pavličková,firstname,,
CZ,Pelašenková,lastname,F,5
PL,Rumiejowski,lastname,M,32
CZ,Nicole Daniela,firstname,,2
PL,Brensa,lastname,,1
CZ,Adam Felix,firstname,,1
PL,Hajłasz,lastname,,106
PL,Podembek,lastname,,1
SK,Sawchak,firstname,,
PL,Maceńko,lastname,,39
HU,Spuller,lastname,U,9
CZ,Ledek,lastname,M,1
CZ,Kłosińská,lastname,M,4
PL,Delijani,lastname,,1
CZ,Gręzicka,lastname,M,1
PL,Tylko,lastname,,349
SK,Varšániová,lastname,,5
PL,Hyżowiecka,lastname,F,31
HU,Török-Zselensky,lastname,U,3
CZ,Fernižáková,lastname,F,4
SK,Mašláni,lastname,,10
CZ,Malušek,lastname,M,71
HU,Anneliese Petra,firstname,F,1
HU,Leczki,lastname,U,93
HU,Ninetta Melinda,firstname,F,1
HU,Nagy-Szakáll,lastname,U,3
